Overhead,Command,Shared Object,Symbol
0.01,qemu-x86\_64,[kernel],[k] mem\_cgroup\_del\_lru\_list
0.01,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_bsf
0.01,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_imulq\_EAX\_T0
0.01,qemu-x86\_64,[kernel],[k] get\_vma\_policy
0.01,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] gen\_ldst\_modrm
0.01,qemu-x86\_64,[kernel],[k] alloc\_page\_vma
0.01,qemu-x86\_64,[kernel],[k] mem\_cgroup\_newpage\_charge
0.01,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] tcg\_out\_movi
0.01,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_pshufd\_xmm
0.01,qemu-x86\_64,[kernel],[k] find\_get\_page
0.01,qemu-x86\_64,[kernel],[k] generic\_getxattr
0.01,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] process\_pending\_signals
0.01,qemu-x86\_64,[kernel],[k] \_\_\_\_pagevec\_lru\_add
0.01,qemu-x86\_64,[kernel],[k] ext4\_do\_update\_inode
0.01,qemu-x86\_64,[kernel],[k] ext4\_da\_write\_begin
0.01,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_cvtsi2sd
0.01,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] tcg\_opt\_gen\_mov
0.01,qemu-x86\_64,[kernel],[k] anon\_vma\_prepare
0.01,qemu-x86\_64,[kernel],[k] kmem\_cache\_alloc
0.01,qemu-x86\_64,[kernel],[k] down\_read\_trylock
0.01,qemu-x86\_64,[kernel],[k] start\_this\_handle
0.01,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] reset\_temp
0.01,qemu-x86\_64,[kernel],[k] current\_kernel\_time
0.01,qemu-x86\_64,[kernel],[k] \_\_lru\_cache\_add
0.01,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] tb\_link\_page
0.01,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] memcpy
0.01,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] gen\_op
0.01,qemu-x86\_64,[kernel],[k] prep\_new\_page
0.01,qemu-x86\_64,[kernel],[k] mem\_cgroup\_add\_lru\_list
0.01,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] cpu\_loop
0.01,qemu-x86\_64,[kernel],[k] kmem\_cache\_free
0.01,qemu-x86\_64,[kernel],[k] fget\_light
0.01,qemu-x86\_64,[kernel],[k] zone\_watermark\_ok
0.01,qemu-x86\_64,[kernel],[k] zone\_nr\_free\_pages
0.01,qemu-x86\_64,[kernel],[k] vfs\_read
0.01,qemu-x86\_64,[kernel],[k] \_\_block\_prepare\_write
0.01,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] page\_check\_range
0.01,qemu-x86\_64,[kernel],[k] system\_call\_after\_swapgs
0.01,qemu-x86\_64,[kernel],[k] mem\_cgroup\_charge\_common
0.01,qemu-x86\_64,[kernel],[k] ext4\_journal\_start\_sb
0.01,qemu-x86\_64,[kernel],[k] radix\_tree\_lookup\_slot
0.01,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_movl\_mm\_T0\_xmm
0.01,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_punpckldq\_xmm
