Overhead,Command,Shared Object,Symbol,Latex Tag
10.85,qemu-x86_64,7fee9f451d0d,Benchmark,Benchmark
0.91,qemu-x86_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86_64,Mutex,Mutex
65.51,qemu-x86_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86_64,SoftFloat,SoftFloat
14.07,qemu-x86_64,qemu + kernel,Qemu,Qemu
8.53,perf_2.6.32-46,perf + kernel,Perf,Perf
