Overhead,Command,Shared Object,Symbol,Latex Tag
13.1,qemu-x86_64,7fee9f451d0d,Benchmark,Benchmark
0.16,qemu-x86_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86_64,Mutex,Mutex
74.73,qemu-x86_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86_64,SoftFloat,SoftFloat
10.34,qemu-x86_64,qemu + kernel,Qemu,Qemu
1.42,perf_2.6.32-46,perf + kernel,Perf,Perf
