Overhead,Command,Shared Object,Symbol,Latex Tag
51.87,qemu-x86_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86_64,Benchmark,Benchmark
26.62,qemu-x86_64,,Mutex,Mutex
0.83,qemu-x86_64,,SoftFloat,SoftFloat
20.49,qemu-x86_64,qemu + kernel,Qemu,Qemu
0.01,perf_2.6.32-46,perf + kernel,Perf,Perf
