Overhead,Command,Shared Object,Symbol,Latex Tag
12.43,qemu-x86_64,7fee9f451d0d,Benchmark,Benchmark
0.89,qemu-x86_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86_64,Mutex,Mutex
68.12,qemu-x86_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86_64,SoftFloat,SoftFloat
7.31,qemu-x86_64,qemu + kernel,Qemu,Qemu
11.02,perf_2.6.32-46,perf + kernel,Perf,Perf
