Overhead,Command,Shared Object,Symbol,Latex Tag
87.06,qemu-x86_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86_64,Benchmark,Benchmark
1.94,qemu-x86_64,,Mutex,Mutex
4.23,qemu-x86_64,,SoftFloat,SoftFloat
6.62,qemu-x86_64,qemu + kernel,Qemu,Qemu
0.01,perf_2.6.32-46,perf + kernel,Perf,Perf
