Overhead,Command,Shared Object,Symbol,Latex Tag
12.13,qemu-x86_64,7fee9f451d0d,Benchmark,Benchmark
1.52,qemu-x86_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86_64,Mutex,Mutex
72.25,qemu-x86_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86_64,SoftFloat,SoftFloat
7.26,qemu-x86_64,qemu + kernel,Qemu,Qemu
6.7,perf_2.6.32-46,perf + kernel,Perf,Perf
