Overhead,Command,Shared Object,Symbol,Latex Tag
9.54,qemu-x86_64,7fee9f451d0d,Benchmark,Benchmark
1.46,qemu-x86_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86_64,Mutex,Mutex
72.73,qemu-x86_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86_64,SoftFloat,SoftFloat
8.65,qemu-x86_64,qemu + kernel,Qemu,Qemu
7.42,perf_2.6.32-46,perf + kernel,Perf,Perf
