Overhead,Command,Shared Object,Symbol,Latex Tag
5.9,qemu-x86_64,7fee9f451d0d,Benchmark,Benchmark
0.82,qemu-x86_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86_64,Mutex,Mutex
75.62,qemu-x86_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86_64,SoftFloat,SoftFloat
6.67,qemu-x86_64,qemu + kernel,Qemu,Qemu
10.84,perf_2.6.32-46,perf + kernel,Perf,Perf
