Overhead,Command,Shared Object,Symbol
0.08,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_pshufd\_xmm
0.07,qemu-x86_64,[kernel],[k] generic\_file\_aio\_write
0.07,qemu-x86_64,[kernel],[k] cpu\_clock
0.07,qemu-x86_64,[kernel],[k] remove\_wait\_queue
0.07,qemu-x86_64,[kernel],[k] copy\_user\_generic\_string
0.07,qemu-x86_64,[kernel],[k] update\_curr
0.07,qemu-x86_64,[kernel],[k] schedule\_hrtimeout\_range
0.07,qemu-x86_64,[kernel],[k] kmem\_cache\_alloc
0.07,qemu-x86_64,[kernel],[k] generic\_segment\_checks
0.07,qemu-x86_64,[kernel],[k] ext4\_da\_write\_begin
0.06,qemu-x86_64,[kernel],[k] \_\_block\_commit\_write
0.06,qemu-x86_64,[kernel],[k] system\_call
0.06,qemu-x86_64,[kernel],[k] thread\_return
0.06,qemu-x86_64,[kernel],[k] rw\_verify\_area
0.06,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_mulpd
0.05,qemu-x86_64,[kernel],[k] ext4\_journal\_start\_sb
0.05,qemu-x86_64,[kernel],[k] native\_read\_tsc
0.05,qemu-x86_64,[kernel],[k] sched\_clock\_cpu
0.05,qemu-x86_64,[kernel],[k] \_\_block\_prepare\_write
0.05,qemu-x86_64,[kernel],[k] pick\_next\_task\_fair
0.05,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] float64\_sqrt
0.05,qemu-x86_64,[kernel],[k] ext4\_do\_update\_inode
0.05,qemu-x86_64,[kernel],[k] pick\_next\_task\_rt
0.05,qemu-x86_64,[kernel],[k] ret\_from\_sys\_call
0.05,qemu-x86_64,[kernel],[k] find\_get\_page
0.04,qemu-x86_64,[kernel],[k] poll\_freewait
0.04,qemu-x86_64,[kernel],[k] native\_sched\_clock
0.04,qemu-x86_64,[kernel],[k] timespec\_trunc
0.04,qemu-x86_64,[kernel],[k] finish\_task\_switch
0.04,qemu-x86_64,[kernel],[k] do\_sync\_write
0.04,qemu-x86_64,[kernel],[k] generic\_file\_buffered\_write
0.04,qemu-x86_64,[kernel],[k] jbd2\_journal\_add\_journal\_head
0.04,qemu-x86_64,[kernel],[k] start\_this\_handle
0.04,qemu-x86_64,[kernel],[k] do\_get\_write\_access
0.04,qemu-x86_64,[kernel],[k] mark\_page\_accessed
0.04,qemu-x86_64,[kernel],[k] \_spin\_lock\_irqsave
0.04,qemu-x86_64,[kernel],[k] bit\_waitqueue
0.04,qemu-x86_64,[kernel],[k] dequeue\_task\_fair
0.04,qemu-x86_64,[kernel],[k] ext4\_xattr\_get
0.04,qemu-x86_64,[kernel],[k] \_spin\_unlock\_irqrestore
0.04,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_divsd
0.03,qemu-x86_64,[kernel],[k] \_\_mark\_inode\_dirty
0.03,qemu-x86_64,[kernel],[k] generic\_perform\_write
0.03,qemu-x86_64,[kernel],[k] dequeue\_entity
0.03,qemu-x86_64,[kernel],[k] free\_poll\_entry
0.03,qemu-x86_64,[kernel],[k] ext4\_get\_group\_desc
0.03,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_pxor\_xmm
0.03,qemu-x86_64,[kernel],[k] system\_call\_after\_swapgs
0.03,qemu-x86_64,[kernel],[k] ext4\_xattr\_block\_get
0.03,qemu-x86_64,[kernel],[k] cap\_inode\_need\_killpriv
0.03,qemu-x86_64,[kernel],[k] perf\_event\_task\_sched\_out
0.03,qemu-x86_64,[kernel],[k] \_\_find\_get\_block
0.03,qemu-x86_64,[kernel],[k] grab\_cache\_page\_write\_begin
0.03,qemu-x86_64,[kernel],[k] \_\_ticket\_spin\_unlock
0.03,qemu-x86_64,[kernel],[k] down\_read
0.03,qemu-x86_64,[kernel],[k] hrtick\_start\_fair
0.03,qemu-x86_64,[kernel],[k] sysret\_check
0.03,qemu-x86_64,[kernel],[k] up\_read
0.03,qemu-x86_64,[kernel],[k] block\_write\_begin
0.03,qemu-x86_64,[kernel],[k] intel\_pmu\_disable\_all
0.03,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_psrldq\_xmm
0.03,qemu-x86_64,[kernel],[k] ext4\_inode\_table
