Overhead,Command,Shared Object,Symbol
0.01,perf\_2.6.32-46,[kernel],[k] cpu\_clock
0.01,perf\_2.6.32-46,[kernel],[k] kmem\_cache\_alloc
0.01,perf\_2.6.32-46,[kernel],[k] thread\_return
0.01,perf\_2.6.32-46,[kernel],[k] \_\_ext4\_get\_inode\_loc
0.01,perf\_2.6.32-46,[kernel],[k] \_\_block\_prepare\_write
0.01,perf\_2.6.32-46,[kernel],[k] mutex\_lock
0.01,perf\_2.6.32-46,[kernel],[k] ext4\_file\_write
0.01,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] \_\_isnan
0.01,perf\_2.6.32-46,[kernel],[k] ext4\_da\_write\_begin
0.01,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_maxsd
0.01,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_cmpltsd
0.01,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] \_\_floor
0.01,perf\_2.6.32-46,[kernel],[k] native\_read\_tsc
0.01,perf\_2.6.32-46,[kernel],[k] system\_call
0.01,perf\_2.6.32-46,[kernel],[k] ext4\_journal\_start\_sb
0.01,perf\_2.6.32-46,[kernel],[k] generic\_file\_aio\_write
0.01,perf\_2.6.32-46,[kernel],[k] mark\_page\_accessed
0.01,perf\_2.6.32-46,[kernel],[k] sched\_clock\_cpu
0.01,perf\_2.6.32-46,[kernel],[k] pick\_next\_task\_fair
0.01,perf\_2.6.32-46,[kernel],[k] \_\_mark\_inode\_dirty
0.01,perf\_2.6.32-46,[kernel],[k] ret\_from\_sys\_call
