Overhead,Command,Shared Object,Symbol,Latex Tag
66.42,qemu-x86_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86_64,Benchmark,Benchmark
21.16,qemu-x86_64,,Mutex,Mutex
0.32,qemu-x86_64,,SoftFloat,SoftFloat
11.94,qemu-x86_64,qemu + kernel,Qemu,Qemu
0,perf_2.6.32-46,perf + kernel,Perf,Perf
