Overhead,Command,Shared Object,Symbol,Latex Tag
13.23,qemu-x86_64,7fee9f451d0d,Benchmark,Benchmark
2.68,qemu-x86_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86_64,Mutex,Mutex
70.95,qemu-x86_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86_64,SoftFloat,SoftFloat
7.13,qemu-x86_64,qemu + kernel,Qemu,Qemu
5.81,perf_2.6.32-46,perf + kernel,Perf,Perf
