Overhead,Command,Shared Object,Symbol,Latex Tag
80.47,qemu-x86_64,7fee9f451d0d,Benchmark,Benchmark
10.66,qemu-x86_64,qemu,Mutex,Mutex
0.24,qemu-x86_64,qemu,SoftFloat,SoftFloat
8.32,qemu-x86_64,qemu + kernel,Qemu,Qemu
0.01,perf_2.6.32-46,perf + kernel,Perf,Perf
