Overhead,Command,Shared Object,Symbol,Latex Tag
24.68,qemu-x86_64,7fee9f451d0d,Benchmark,Benchmark
5.27,qemu-x86_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86_64,Mutex,Mutex
57.49,qemu-x86_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86_64,SoftFloat,SoftFloat
12.38,qemu-x86_64,qemu + kernel,Qemu,Qemu
0,perf_2.6.32-46,perf + kernel,Perf,Perf
