Overhead,Command,Shared Object,Symbol,Latex Tag
17.16,qemu-x86_64,7fee9f451d0d,Benchmark,Benchmark
3.92,qemu-x86_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86_64,Mutex,Mutex
57.98,qemu-x86_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86_64,SoftFloat,SoftFloat
9.21,qemu-x86_64,qemu + kernel,Qemu,Qemu
11.59,perf_2.6.32-46,perf + kernel,Perf,Perf
